context_cluster,Peace & Reconciliation,Love & Moral Obligation,Hope & Promise,Justice & Righteousness,Divine Authority & Sovereignty,Joy & Praise,Other
Prayer & Religious Events,0.07712082262210797,0.3341902313624679,0.2390745501285347,0.12853470437017994,0.14652956298200515,0.038560411311053984,0.03598971722365039
Policy/Issue Remarks & Civic Ceremonies,0.15142857142857144,0.24571428571428572,0.1742857142857143,0.22285714285714286,0.1,0.03428571428571429,0.07142857142857142
Holidays & Seasonal Greetings,0.22535211267605634,0.20422535211267606,0.1619718309859155,0.11267605633802817,0.1267605633802817,0.11971830985915492,0.04929577464788732
Conventions & Annual Meetings,0.17073170731707318,0.21951219512195122,0.22764227642276422,0.1951219512195122,0.08130081300813008,0.024390243902439025,0.08130081300813008
Memorials & Tributes,0.0963855421686747,0.1927710843373494,0.3373493975903614,0.14457831325301204,0.0963855421686747,0.04819277108433735,0.08433734939759036
Routine National Addresses,0.17543859649122806,0.2807017543859649,0.15789473684210525,0.15789473684210525,0.03508771929824561,0.10526315789473684,0.08771929824561403
Diplomacy & State Ceremonies,0.2727272727272727,0.03636363636363636,0.12727272727272726,0.2909090909090909,0.07272727272727272,0.01818181818181818,0.18181818181818182
Legislation & Proclamations,0.12727272727272726,0.2545454545454545,0.16363636363636364,0.23636363636363636,0.12727272727272726,0.03636363636363636,0.05454545454545454
